source,target
Do not save the cat or the dog,dog the or cat the save not Do
I wanted to save the cat but a dog stopped me,me stopped dog a but cat the save to wanted I
I wonder why the cat loves to save the dog,dog the save to loves cat the why wonder I
The cat paints the dog,dog the paints cat The
Please tell the cat and the dog to paint me,me paint to dog the and cat the tell Please
Do not paint the cat or the dog,dog the or cat the paint not Do
I wanted to paint the cat but a dog stopped me,me stopped dog a but cat the paint to wanted I
I wonder why the cat loves to paint the dog,dog the paint to loves cat the why wonder I
The cat illustrates the dog,dog the illustrates cat The
Please tell the cat and the dog to illustrate me,me illustrate to dog the and cat the tell Please
Do not illustrate the cat or the dog,dog the or cat the illustrate not Do
I wanted to illustrate the cat but a dog stopped me,me stopped dog a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the dog,dog the illustrate to loves cat the why wonder I
The cat meets the cat,cat the meets cat The
Please tell the cat and the cat to meet me,me meet to cat the and cat the tell Please
Do not meet the cat or the cat,cat the or cat the meet not Do
I wanted to meet the cat but a cat stopped me,me stopped cat a but cat the meet to wanted I
I wonder why the cat loves to meet the cat,cat the meet to loves cat the why wonder I
The cat likes the cat,cat the likes cat The
Please tell the cat and the cat to like me,me like to cat the and cat the tell Please
Do not like the cat or the cat,cat the or cat the like not Do
I wanted to like the cat but a cat stopped me,me stopped cat a but cat the like to wanted I
I wonder why the cat loves to like the cat,cat the like to loves cat the why wonder I
The cat dislikes the cat,cat the dislikes cat The
Please tell the cat and the cat to dislike me,me dislike to cat the and cat the tell Please
Do not dislike the cat or the cat,cat the or cat the dislike not Do
I wanted to dislike the cat but a cat stopped me,me stopped cat a but cat the dislike to wanted I
I wonder why the cat loves to dislike the cat,cat the dislike to loves cat the why wonder I
The cat challenges the cat,cat the challenges cat The
Please tell the cat and the cat to challenge me,me challenge to cat the and cat the tell Please
Do not challenge the cat or the cat,cat the or cat the challenge not Do
I wanted to challenge the cat but a cat stopped me,me stopped cat a but cat the challenge to wanted I
I wonder why the cat loves to challenge the cat,cat the challenge to loves cat the why wonder I
The cat befriends the cat,cat the befriends cat The
Please tell the cat and the cat to befriend me,me befriend to cat the and cat the tell Please
Do not befriend the cat or the cat,cat the or cat the befriend not Do
I wanted to befriend the cat but a cat stopped me,me stopped cat a but cat the befriend to wanted I
I wonder why the cat loves to befriend the cat,cat the befriend to loves cat the why wonder I
The cat celebrates the cat,cat the celebrates cat The
Please tell the cat and the cat to celebrate me,me celebrate to cat the and cat the tell Please
Do not celebrate the cat or the cat,cat the or cat the celebrate not Do
I wanted to celebrate the cat but a cat stopped me,me stopped cat a but cat the celebrate to wanted I
I wonder why the cat loves to celebrate the cat,cat the celebrate to loves cat the why wonder I
The cat swordfights the cat,cat the swordfights cat The
Please tell the cat and the cat to swordfight me,me swordfight to cat the and cat the tell Please
Do not swordfight the cat or the cat,cat the or cat the swordfight not Do
I wanted to swordfight the cat but a cat stopped me,me stopped cat a but cat the swordfight to wanted I
I wonder why the cat loves to swordfight the cat,cat the swordfight to loves cat the why wonder I
The cat questions the cat,cat the questions cat The
Please tell the cat and the cat to question me,me question to cat the and cat the tell Please
Do not question the cat or the cat,cat the or cat the question not Do
I wanted to question the cat but a cat stopped me,me stopped cat a but cat the question to wanted I
I wonder why the cat loves to question the cat,cat the question to loves cat the why wonder I
The cat serenades the cat,cat the serenades cat The
Please tell the cat and the cat to serenade me,me serenade to cat the and cat the tell Please
Do not serenade the cat or the cat,cat the or cat the serenade not Do
I wanted to serenade the cat but a cat stopped me,me stopped cat a but cat the serenade to wanted I
I wonder why the cat loves to serenade the cat,cat the serenade to loves cat the why wonder I
The cat bites the cat,cat the bites cat The
Please tell the cat and the cat to bite me,me bite to cat the and cat the tell Please
Do not bite the cat or the cat,cat the or cat the bite not Do
I wanted to bite the cat but a cat stopped me,me stopped cat a but cat the bite to wanted I
I wonder why the cat loves to bite the cat,cat the bite to loves cat the why wonder I
The cat hugs the cat,cat the hugs cat The
Please tell the cat and the cat to hug me,me hug to cat the and cat the tell Please
Do not hug the cat or the cat,cat the or cat the hug not Do
I wanted to hug the cat but a cat stopped me,me stopped cat a but cat the hug to wanted I
I wonder why the cat loves to hug the cat,cat the hug to loves cat the why wonder I
The cat defends the cat,cat the defends cat The
Please tell the cat and the cat to defend me,me defend to cat the and cat the tell Please
Do not defend the cat or the cat,cat the or cat the defend not Do
I wanted to defend the cat but a cat stopped me,me stopped cat a but cat the defend to wanted I
I wonder why the cat loves to defend the cat,cat the defend to loves cat the why wonder I
The cat saves the cat,cat the saves cat The
Please tell the cat and the cat to save me,me save to cat the and cat the tell Please
Do not save the cat or the cat,cat the or cat the save not Do
I wanted to save the cat but a cat stopped me,me stopped cat a but cat the save to wanted I
I wonder why the cat loves to save the cat,cat the save to loves cat the why wonder I
The cat paints the cat,cat the paints cat The
Please tell the cat and the cat to paint me,me paint to cat the and cat the tell Please
Do not paint the cat or the cat,cat the or cat the paint not Do
I wanted to paint the cat but a cat stopped me,me stopped cat a but cat the paint to wanted I
I wonder why the cat loves to paint the cat,cat the paint to loves cat the why wonder I
The cat illustrates the cat,cat the illustrates cat The
Please tell the cat and the cat to illustrate me,me illustrate to cat the and cat the tell Please
Do not illustrate the cat or the cat,cat the or cat the illustrate not Do
I wanted to illustrate the cat but a cat stopped me,me stopped cat a but cat the illustrate to wanted I
I wonder why the cat loves to illustrate the cat,cat the illustrate to loves cat the why wonder I
The dog meets the scorpion,scorpion the meets dog The
Please tell the dog and the scorpion to meet me,me meet to scorpion the and dog the tell Please
Do not meet the dog or the scorpion,scorpion the or dog the meet not Do
I wanted to meet the dog but a scorpion stopped me,me stopped scorpion a but dog the meet to wanted I
I wonder why the dog loves to meet the scorpion,scorpion the meet to loves dog the why wonder I
The dog likes the scorpion,scorpion the likes dog The
Please tell the dog and the scorpion to like me,me like to scorpion the and dog the tell Please
Do not like the dog or the scorpion,scorpion the or dog the like not Do
I wanted to like the dog but a scorpion stopped me,me stopped scorpion a but dog the like to wanted I
I wonder why the dog loves to like the scorpion,scorpion the like to loves dog the why wonder I
The dog dislikes the scorpion,scorpion the dislikes dog The
Please tell the dog and the scorpion to dislike me,me dislike to scorpion the and dog the tell Please
Do not dislike the dog or the scorpion,scorpion the or dog the dislike not Do
I wanted to dislike the dog but a scorpion stopped me,me stopped scorpion a but dog the dislike to wanted I
I wonder why the dog loves to dislike the scorpion,scorpion the dislike to loves dog the why wonder I
The dog challenges the scorpion,scorpion the challenges dog The
